611012,Ashley Green,D10,0 Bukit Sedap Road,279000,Detached House,Capitaland,999-year Leasehold,1995,N/A,14,https://www.propertyguru.com.sg/project/ashley-green-51,"Ashley Green is a 999-year Leasehold detached house located at Bukit Sedap Road in District D10. Ashley Green is close to Dover MRT EW22 . 

Amenities near Ashley Green
Ashley Green is a short drive to Holland Road Shopping Centre and Clementi Shopping Centre. It is also not far from several schools such as Henry Park Primary School, Ghim Moh Primary School and Nexus International School. 

Ashley Green is accessible via Holland Road, Sixth Avenue and Pan-Island Expressway (PIE)."
611013,Aston Residence,D17,0 Jalan Loyang Besar,509000,Detached House,Yi Kai Development Pte Ltd,Unknown Tenure,2011,1,28,https://www.propertyguru.com.sg/project/aston-residence-1286,"Aston Residence is a 946-years Leasehold development at 209 Jalan Loyang Besar Singapore 509489 in District 17 near Pasir Ris MRT Station. It is expected to be completed in 2011 and is minutes away from the very popular tourist sites Downtown East and the Escape Theme Park.

Condo Facilities at Aston Residences
Aston Residence will feature a 120-metre swimming pool, 2 units with a private pool, private Jacuzzi, and a private car park.

Condo Amenities at Aston Residences

Plenty of amenities such as food courts, cafes, supermarkets, banks, clinics, and hair salons are available at the nearby Pasir Ris Drive neighbourhood.

Pasir Ris Primary School, Pasir Ris Crest Secondary School, and Casuarina Primary School give parents the liberty to walk their children to school."
611014,Avant Parc,D27,0 Wak Hassan Place,757000,Terraced House,Sunway Land Pte Ltd,99-year Leasehold,2013,N/A,15,https://www.propertyguru.com.sg/project/avant-parc-21752,"Avant Parc is a 15 units of 99-year Leasehold Terraced House located at Wak Hassan Place in District 27. It will be completed in 2013.


» FACILITIES & SERVICES IN AVANT PARC
 
♦ Home Lift :1 no. 450kg capacity (4 persons) hydraulic lift serving Basement, Level 1, Level 2, Level 3 and Attic
♦ Pool for house no. 1, 9, 11, 21, 71 and 77
♦ Jacuzzi for house no. 3, 5, 7, 13, 15, 17, 19, 73 and 75


» AMENITIES NEAR AVANT PARC
Avant Parc is close to NS11 Sembawang MRT Station and not far from several Schools such as Wellington Primary School, Endeavour Primary School and Chongfu Primary School.

Resident at Avant Parc can get to the nearest NTUC Fairprice Supermarkets at Sembawang Mart. It is also nearby to Sun Plaza and Sembawang Shopping Centre Shopping Malls for an array of amenities such as grocery and retail shopping, banks, eateries and more. 

Vehicle owners can take Sembawang Road and Seletar Expressway (SLE) to get to the business hub or shopping district in the city."
611015,Avenue Villa,D10,0 Fifth Avenue,278000,Good Class Bungalow,City Development Limited,Freehold,1996,N/A,8,https://www.propertyguru.com.sg/project/avenue-villa-1765,"Avenue Villas is a freehold development located at Fifth Avenue, in District 10, near the under-constructedFarrer Road MRT Station and Holland Village MRT Station. Avenue Villas is close to Nanyang Girls' High School and Turf City Shopping Mall.

Condo Facilities at Avenue Villas

Facilities at Avenue Villas include covered car park, jacuzzi, swimming pool and tennis court.

Condo Amenities near Avenue Villas
Avenue Villas is also near to eateries and restaurants located along Sixth Avenue and Bukit Timah Road and Upper Bukit Timah Road.

For vehicle owners, driving from Avenue Villas to the business hub or Orchard Road takes 10 - 15 minutes, via Bukit Timah Road and Scotts Road."
611016,Avila Terrace,D17,0 Mariam Way,508000,Terraced House,Bonsel Development Pte Ltd,Freehold,1996,N/A,112,https://www.propertyguru.com.sg/project/avila-terrace-1043,"Avila Terrace is a freehold terraced-housing development located at 135 Mariam Way, Singapore 508633, in District 17, minutes ride to Pasir Ris MRT Station. Completed in 1994, it comprises 112 units. Avila Terrace is close to Tampines Tree Park and Changi International Airport.

Condo Amenities near Avila Terrace

A few feeder bus services are available near Avila Terrace. It is also within minutes ride to several schools, such as White Sands Primary School, Ngee Ann Secondary School, and Dunman Secondary School.

Residents can head down to the nearby shopping malls like Tampines Mart or Loyang Point for amenities such as supermarkets, restaurants, eating establishments, and more. Alternatively, they may drive down to the slightly further Tampines Mall or Century Square for a wider range of amenities.

For vehicle owners, driving from Avila Terrace to either the business hub or the vibrant Orchard Road shopping district takes 20 - 25 minutes, via Pan Island Expressway respectively."
611017,Banyan Park,D05,0 Chwee Chian Road,119000,Terraced House,Tai Lai Holdings Pte Ltd,Freehold,1998,N/A,46,https://www.propertyguru.com.sg/project/banyan-park-20831,"Banyan Park is a freehold terraced house located at Chwee Chian Road in District 05 Buona Vista. It comprises of 46 units. Banyan Park is close to Buona Vista MRT Station and Commonwealth MRT Station.  It is completed in 1998. Schools close to Banyan Park include, Anglo-Chinese School and Bukit Merah Secondary School.  

Facilities in Banyan Park

Facilities at Banyan Park include BBQ pit, gymnasium, swimming pool, playground, car park and 24 hours security

Amenities near Banyan Park

Residents at Banyan Park can get to nearby supermarkets or shopping mall within the area for an array of amenities such as grocery and retail shopping, banks, eateries and more. 

Banyan Park is near to Cold Storage Village Centre and Cold Storage Anchorpoint. It is also close to The Village Centre and Queensway Shopping Centre. 

Vehicle owners can take South Buona Vista Road, West Coast Highway and Ayer Rajah Expressway to get to the business hub or shopping district in the city."
611018,Banyan Villas,D26,0 Lentor Plain,786000,Terraced House,Far East Organization,Freehold,2005,N/A,64,https://www.propertyguru.com.sg/project/banyan-villas-1577,"Banyan Villas is a freehold terrace house development located at 3 Lentor Plain, Singapore 786505, in District 26, minutes away from Yio Chu Kang MRT Station. Completed in 2005, it comprises 64 units. Banyan Villas is close to Ang Mo Kio Town Centre and Nanyang Polytechnic.

Amenities near Banyan Villas

A few feeder bus services are available near Banyan Villas. It is also close to several schools, such as Presbyterian high School and Anderson Junior College. Residents can drive down to the aforementioned Ang Mo Kio Town Centre for amenities such as supermarkets, restaurants, banks, cinema, boutique shops, library, and more. 

For vehicle owners, driving from Banyan Villas to either the business hub or the buzzing Orchard Road shopping district takes about 20 minutes, via Central Expressway."
611019,Barker Terraces,D11,0 Barker Road,309000,Terraced House,SinHengChan Group,Freehold,2008,N/A,13,https://www.propertyguru.com.sg/project/barker-terraces-649,"Barker TerracesBarker Terraces is a freehold landed development.The terraced housing development is on Barker Road, District 11. Barker Terraces was built in 2008 by Sin Heng Chan Group, one of Singapore’s premier developer. The exclusive development comprises 13 units. It is nestled amongst quiet bungalows in exclusive Bukit Timah enclave. Among the facilities offered are swimming pool, BBQ pits and playground. It is within walking distance to some of Singapore’s famed educational institutions such as Catholic Junior College, Anglo-Chinese School and St. Joseph Institution. While a few minutes away residents can find many food options as well as amenities such as banks, supermarkets, malls and entertainment options. Barker Terraces is easy to access from Bukit Timah and Scotts Road. It is also linked by numerous public buses and MRT stations.Barker Terraces -Unique Selling PointsBarker Terraces is nestled alongside quiet bungalows on high ground in exclusive Bukit Timah. Its within walking distance to some of Singapore’s famous schools, as well as the Newton Circle and Newton MRT. Exclusive with only 13 units with private jacuzzi pool aside from common lush facilities. The property is luxuriously furnished with high quality fixtures. The developer is an award-winning luxury homes developer with an impressive portfolio spanning Asia Pacific.Barker Terraces – Accessibility Getting and traveling to Barkers Terraces is a breeze as it is connected by numerous public buses and Novena MRT is within walking distance, while Bukit Timah and Scotts Road, anywhere downtown easily.Barker Terraces – Amenities Transport near Barker TerracesNovena MRT Station (870m)Newton MRT Station (1km)Mount Pleasant MRT Station – opening 2021Schools near Barker Terraces Anglo-Chinese SchoolCatholic Junior CollegeSingapore Chinese Girls SchoolBalestier Hill Secondary SchoolSt Joseph Institution InternationalSan Yu Adventist SchoolSingapore Korean InternationalHwaChong International SchoolSwiss School in SingaporeMedical centers near Barker TerracesGleneagles HospitalTan Tock Seng HospitalKK Women’s & Children’s HospitalMount Elizabeth HospitalMount Elizabeth Novena HospitalBalmoral Clinic Family MedicineWhite Dental GroupIsland Medical ClinicThe O & G Specialist ClinicKoong & Ho SurgerySupermarkets near Barker TerracesRecreation near Barker TerracesMalcolm ParkZhongShan ParkNovena Rise ParkNovena ParkFood Establishments near Barker TerracesMiao Yi Vegetarian RestaurantSinn Ji Hainanese Chicken RiceNickeldime DrafthouseHong Kong Street Family RestaurantKuriya DiningKFCWaffletownSubwayOld Chang Kee @ Caltex DunearnKyushu Pancake CaféShopping malls/Shops near Barker TerracesBalmoral PlazaBalestier Hill Shopping CentreNovena Square Shopping MallVelocitySquare 2Cold Storage Chancery CourtFairPrice Square 2Cold Storage VelocityCold Storage United SquareCold Storage AlocassiaBarker Terraces – Project InformationBarker Terraces is a freehold landed terraces houses and only only 13 units. It is nestled within the quiet confines of Bukit Timah in District 11. It is built in 2008 by Sin Heng Chan Group.Project Name: Barker TerracesDistrict: 11Tenure: FreeholdType: Terraced HouseConfiguration: 13 exclusive residential unitsDeveloper: Sin Heng Chan GroupCompleted : 2008Barker Terraces – Related ProjectsThe following projects are by the same developer as Barker Terraces:Watten ResidencesGilstead BrooksNomuBarker Terraces – Nearby ProjectsThe following developments are in the same neighbourhood as Barker Terraces:Moulmein StudiosMulberry TreeThe HuntingtonNovena SuitesLa Maison"
611020,Barker Ville,D11,0 Barker Road,307000,Semi-Detached House,Starluck SLN Development Pte Ltd,Freehold,N/A,N/A,9,https://www.propertyguru.com.sg/project/barker-ville-20632,"Barker VilleBarker Ville is a Freehold Cluster Housing development that consists of semi-detached houses with a total of nine units. The building is located at 45C Barker Road near Anglo Chinese School. The area belongs to District 11 - Newton / Novena. Starluck SLN Development Pte Ltd completed the project successfully in 2010. There is a wide range of facilities and amenities available to help out the residents and make their lives much easier. Moreover, there are a large number of schools, eateries, hospitals and shopping centers located nearby. Also, the routes to the linking areas are easy and accessible. Barker Ville is an ideal location for residents and provides a peaceful environment.Barker Ville was developed by Starluck SLN Development Pte Ltd, this company was registered on 13 September 2008. In the 10 business years, the developers have done brilliant work at other locations and still doing it perfectly.Barker Ville – Unique Selling PointsBarer Ville has a wide range of facilities making it a unique choice. The developers provide a BBQ area, allowing you to spend some quality time with your friends and family. The facility of private Jacuzzi and lap pool is also provided for residents to loosen up and relax. Furthermore, the building has private car parking for all the residents. The facilities at Barker Ville make the life of residents easier by providing most of the facilities inside the property.Barker Ville – Accessibility Barker Ville is easily accessible through MRT stations, roads, and highways including Dunearn Road and Barker Road. It is accessible through the nearest train stations such as Novena (NS20), Newton (DT11 NS21). due to these roads, nearby areas are easily accessible and transportation is convenient.Barker Ville – AmenitiesSchools from BARKER VILLESan Yu Adventist SchoolChinese International SchoolSt Joseph Institutional InternationalAnglo-Chinese School (Primary)Singapore Chinese Girls' Primary SchoolBalestier Hill Primary SchoolShopping Centers near Barker Ville United Square Shopping MallGOLDHILL SHOPPING CENTREVelocity@novena SquareCold Storage Chancery CourtCold Storage United SquareCold Storage NovenaMedical Centers and Clinics near Barker Ville Tan Tock Seng Hospital: this hospital is a 12-minute drive awaySingapore General Hospital: it takes you 19 minutes to drive to the hospitalInstitute of Mental HealthSGH Block 7Khoo Teck Puat HospitalEateries near Barer Ville Thai'D Me UpMiao Yi Vegetarian RestaurantSpizza Bukit TimahPu Dong KitchenSinn Ji Hainanese Chicken RiceBarker Ville – Project InformationBarker Ville is a property consisting of semi-detached houses; it has a total of 9 units with different layouts. The minimum sale price of a unit is $4,000,000 and the maximum is $8,100,000. However, it costs around $16,500 to rent a unit. The units are either sold or rented. Following is the information related Barker VilleProperty Type: Detached houseProperty name: Barker VilleDeveloper: Starluck SLN Development Pte LtdLand tenure: FreeholdDistrict: 11Address: 45C Barker RoadUnit Type4 bedroom5 bedroom6 bedroomBarker Ville – Nearby Projects Following are a few residential areas near Barker VilleMoulmein StudiosMulberry TreeThe HuntingtonNovena SuitesLa Maison"
611021,Barossa Gardens,D05,0 Pasir Panjang Road,117000,Terraced House,N/A,Freehold,1997,N/A,N/A,https://www.propertyguru.com.sg/project/barossa-gardens-1075,"Barossa Gardens, is a freehold Terraced House located at Pasir Panjang Road in district 05, near West Coast MRT Station, Pasir Panjang MRT Station and Kent Ridge MRT Station. It is located near Kentview Park.

Amenities near Barossa Gardens
Barossa Gardens has a host of amenities that are readily available, such as major shopping centres, supermarkets, restaurants and eating establishments, banks, library, cinemas and other entertainment facilities.
The schools in the vicinity are, Tanglin Trust School, River Valley High School and Fairfield Methodist Primary School"
611022,Bartley Villas,D19,0 How Sun Walk,538000,Terraced House,Bartley Consortium Pte Ltd,99-year Leasehold,1996,N/A,57,https://www.propertyguru.com.sg/project/bartley-villas-1463,"Bartley Villas is located in How Sun Walk in district D19. This Terraced House space is 0.29 km away from CC12 Bartley MRT Station. You can also see from the map above how to get there via other means of transport.

The tenure of this project is 99-year Leasehold."
611023,Bedok Grove,D16,0 Bedok Place,486000,Terraced House,Ho Lee Investment Pte. Ltd. & Sound Life Centre Pte. Ltd.,Freehold,N/A,N/A,41,https://www.propertyguru.com.sg/project/bedok-grove-20532,"Bedok Grove is a freehold terraced house located at Bedok Place in District 16 Bedok. It comprises of 41 units. Bedok Grove is close to Tanah Merah MRT Station and Simei MRT Station. Schools close to Bedok Grove include, Bedok South Secondary School and Bedok View Secondary School.  

Amenities near Bedok Grove

Residents at Bedok Grove can get to nearby supermarkets or shopping mall within the area for an array of amenities such as grocery and retail shopping, banks, eateries and more. 

Bedok Grove is near to Cold Storage Eastwood and Shop N Save Bedok Market Place. It is also close to Bedok Point. 

Vehicle owners can take East Coast Expressway and Central Expressway to get to the business hub or shopping district in the city."
